"No.","Time","Source","Destination","Protocol","Length","Info"
"7600","1367.200124224","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.172? Tell 192.168.43.100"
"7601","1367.201018081","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.198? Tell 192.168.43.100"
"7602","1367.398130039","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.136? Tell 192.168.43.100"
"7603","1367.398860691","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.115? Tell 192.168.43.100"
"7604","1367.399668538","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.96? Tell 192.168.43.100"
"7605","1367.400615856","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.91? Tell 192.168.43.100"
"7606","1367.401464627","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.90? Tell 192.168.43.100"
"7607","1367.402345903","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.239? Tell 192.168.43.100"
"7608","1367.403153240","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.205? Tell 192.168.43.100"
"7609","1367.404084872","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.228? Tell 192.168.43.100"
"7610","1367.404961655","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.255? Tell 192.168.43.100"
"7611","1367.405827733","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.244? Tell 192.168.43.100"
"7612","1367.602789595","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.169? Tell 192.168.43.100"
"7613","1367.603634841","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.137? Tell 192.168.43.100"
"7614","1367.604525171","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.120? Tell 192.168.43.100"
"7615","1367.605376360","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.103? Tell 192.168.43.100"
"7616","1367.606268828","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.58? Tell 192.168.43.100"
"7617","1367.607110126","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.55? Tell 192.168.43.100"
"7618","1367.607969106","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.78? Tell 192.168.43.100"
"7619","1367.608858445","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.46? Tell 192.168.43.100"
"7620","1367.609765052","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.39? Tell 192.168.43.100"
"7621","1367.610568955","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.184? Tell 192.168.43.100"
"7622","1367.807573252","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.154? Tell 192.168.43.100"
"7623","1367.808458615","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.165? Tell 192.168.43.100"
"7624","1367.809285627","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.112? Tell 192.168.43.100"
"7625","1367.810211811","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.131? Tell 192.168.43.100"
"7626","1367.811014948","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.62? Tell 192.168.43.100"
"7627","1367.811859397","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.141? Tell 192.168.43.100"
"7628","1367.812810924","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.135? Tell 192.168.43.100"
"7629","1367.813665554","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.71? Tell 192.168.43.100"
"7630","1367.814491504","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.68? Tell 192.168.43.100"
"7631","1367.815383914","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.52? Tell 192.168.43.100"
